"sensor_name","latitude","longitude","city"
"Arjun Nagar Tiraha",27.170118,77.983668,"Agra"
"Ravatpada Tiraha/Mutiwir Masjid",27.184103,78.015145,"Agra"
"Chilgar",27.17316,78.012736,"Agra"
"Shamshan ghat",27.19254,78.01624,"Agra"
"Meera Hussaini",27.181377,78.008992,"Agra"
"Allahbaksh",27.159162,77.992493,"Agra"
"Raja Mandi Chouraha",27.189371,78.001199,"Agra"
"Namner Chauraha",27.167598,78.006114,"Agra"
"Basai tiraha",27.157611,78.053691,"Agra"
"Vaibhav Nagar",27.158081,78.034309,"Agra"
"RAJESHWAR TEMPLE",27.144604,78.042036,"Agra"
"P S Saghan",27.19254,78.01624,"Agra"
"Ghatiya Azam Khan Chowk",27.194035,78.010157,"Agra"
"ICCC",27.2031712111497,78.0059766769409,"Agra"
"Kalakriti",27.19254,78.01624,"Agra"
"Rajpur Chungi",27.15307,78.034044,"Agra"
"Shahganj Chauraha",27.19254,78.01624,"Agra"
"Purani Mandi",27.167592,78.036406,"Agra"
"ISBT",27.19254,78.01624,"Agra"
"idgah chauraha",27.19254,78.01624,"Agra"
"Agrasen Murti",27.19254,78.01624,"Agra"
"Hathi Ghat",27.184408,78.023109,"Agra"
"SBI Zonal Office",27.1965595,78.0047274,"Agra"
"Singhpur Mod",26.5313473,80.2604879,"Kanpur"
"Chakeri Station Road",26.3834505,80.4141498,"Kanpur"
"Sachan Guest House chauraha",26.4316289,80.3081162,"Kanpur"
"Koyala Nagar",26.3965788,80.360993,"Kanpur"
"Tatmil Chauraha, G.T Road",26.4484719,80.344085,"Kanpur"
"Mariyampur Chauraha",26.4653222,80.3065343,"Kanpur"
"Steel plant Tiraha",26.4630458,80.3248889,"Kanpur"
"Noubasta Chauraha",26.421345,80.3190761,"Kanpur"
"Yadhav Market Barra Road",26.4353603,80.3085555,"Kanpur"
"Anoop Telecom Chowk, sungawan Road",26.3843321,80.3759369,"Kanpur"
"Bhairo Ghat (Khalasi Line) Chauraha",26.4938758,80.3274687,"Kanpur"
"Deep Talkies Tirarha",26.4405259,80.309943,"Kanpur"
"PAC MOD Chauraha",26.4055372,80.3556947,"Kanpur"
"Rama devi Chauraha ",26.4111249,80.3870896,"Kanpur"
"Meghdoot Tiraha",26.470868,80.357888,"Kanpur"
"Bara Devi Chauraha",26.4394235,80.3252686,"Kanpur"
"Shastri Chowk Chauraha ",26.4436091,80.2945391,"Kanpur"
"Ram Gopal Chauraha",26.4270366,80.2909608,"Kanpur"
"Shyam Nagar Chaurha",26.4144737,80.3639629,"Kanpur"
"Fazalganj Chauraha",26.4583167,80.3092215,"Kanpur"
"Kidwai Nagar Chauraha",26.4331017,80.3367095,"Kanpur"
"Barra Chauraha",26.4458383,80.2997026,"Kanpur"
"Vijay Nagar Chauraha",26.4634292,80.2939529,"Kanpur"
"Ghantaghar Junction",26.4537015,80.3512524,"Kanpur"
"Kanpur Ganga Bridge, Kanpur Road",26.470043,80.3764051,"Kanpur"
"Jhansi Kanpur Highway Bridge",26.4232878,80.3150239,"Kanpur"
"Rawatpur Tiraha",26.4828389,80.2987357,"Kanpur"
"IIT Gate Tiraha",26.5123388,80.2329,"Kanpur"
"Narona Chauraha",26.4733932,80.3312037,"Kanpur"
